Download started at 14/11/2025  0:22:58,32 
 
[001] Downloading Al-Fatihah (7 ayahs)... 
  [OK] 001001.mp3 - Al-Fatihah Ayah 1 
  [OK] 001002.mp3 - Al-Fatihah Ayah 2 
  [OK] 001003.mp3 - Al-Fatihah Ayah 3 
  [OK] 001004.mp3 - Al-Fatihah Ayah 4 
  [OK] 001005.mp3 - Al-Fatihah Ayah 5 
  [OK] 001006.mp3 - Al-Fatihah Ayah 6 
  [OK] 001007.mp3 - Al-Fatihah Ayah 7 
[001] Al-Fatihah complete! 
[002] Downloading Al-Baqarah (286 ayahs)... 
  [OK] 002001.mp3 - Al-Baqarah Ayah 1 
  [OK] 002002.mp3 - Al-Baqarah Ayah 2 
  [OK] 002003.mp3 - Al-Baqarah Ayah 3 
  [OK] 002004.mp3 - Al-Baqarah Ayah 4 
  [OK] 002005.mp3 - Al-Baqarah Ayah 5 
  [OK] 002006.mp3 - Al-Baqarah Ayah 6 
  [OK] 002007.mp3 - Al-Baqarah Ayah 7 
  [OK] 002008.mp3 - Al-Baqarah Ayah 8 
  [OK] 002009.mp3 - Al-Baqarah Ayah 9 
  [OK] 002010.mp3 - Al-Baqarah Ayah 10 
  [OK] 002011.mp3 - Al-Baqarah Ayah 11 
  [OK] 002012.mp3 - Al-Baqarah Ayah 12 
  [OK] 002013.mp3 - Al-Baqarah Ayah 13 
  [OK] 002014.mp3 - Al-Baqarah Ayah 14 
  [OK] 002015.mp3 - Al-Baqarah Ayah 15 
  [OK] 002016.mp3 - Al-Baqarah Ayah 16 
  [OK] 002017.mp3 - Al-Baqarah Ayah 17 
  [OK] 002018.mp3 - Al-Baqarah Ayah 18 
  [OK] 002019.mp3 - Al-Baqarah Ayah 19 
  [OK] 002020.mp3 - Al-Baqarah Ayah 20 
  [OK] 002021.mp3 - Al-Baqarah Ayah 21 
  [OK] 002022.mp3 - Al-Baqarah Ayah 22 
  [OK] 002023.mp3 - Al-Baqarah Ayah 23 
  [OK] 002024.mp3 - Al-Baqarah Ayah 24 
  [OK] 002025.mp3 - Al-Baqarah Ayah 25 
  [OK] 002026.mp3 - Al-Baqarah Ayah 26 
  [OK] 002027.mp3 - Al-Baqarah Ayah 27 
  [OK] 002028.mp3 - Al-Baqarah Ayah 28 
  [OK] 002029.mp3 - Al-Baqarah Ayah 29 
  [OK] 002030.mp3 - Al-Baqarah Ayah 30 
  [OK] 002031.mp3 - Al-Baqarah Ayah 31 
  [OK] 002032.mp3 - Al-Baqarah Ayah 32 
  [OK] 002033.mp3 - Al-Baqarah Ayah 33 
  [OK] 002034.mp3 - Al-Baqarah Ayah 34 
  [OK] 002035.mp3 - Al-Baqarah Ayah 35 
  [OK] 002036.mp3 - Al-Baqarah Ayah 36 
  [OK] 002037.mp3 - Al-Baqarah Ayah 37 
  [OK] 002038.mp3 - Al-Baqarah Ayah 38 
  [OK] 002039.mp3 - Al-Baqarah Ayah 39 
  [OK] 002040.mp3 - Al-Baqarah Ayah 40 
  [OK] 002041.mp3 - Al-Baqarah Ayah 41 
  [OK] 002042.mp3 - Al-Baqarah Ayah 42 
  [OK] 002043.mp3 - Al-Baqarah Ayah 43 
  [OK] 002044.mp3 - Al-Baqarah Ayah 44 
  [OK] 002045.mp3 - Al-Baqarah Ayah 45 
  [OK] 002046.mp3 - Al-Baqarah Ayah 46 
  [OK] 002047.mp3 - Al-Baqarah Ayah 47 
  [OK] 002048.mp3 - Al-Baqarah Ayah 48 
  [OK] 002049.mp3 - Al-Baqarah Ayah 49 
  [OK] 002050.mp3 - Al-Baqarah Ayah 50 
  [OK] 002051.mp3 - Al-Baqarah Ayah 51 
  [OK] 002052.mp3 - Al-Baqarah Ayah 52 
  [OK] 002053.mp3 - Al-Baqarah Ayah 53 
  [OK] 002054.mp3 - Al-Baqarah Ayah 54 
  [OK] 002055.mp3 - Al-Baqarah Ayah 55 
  [OK] 002056.mp3 - Al-Baqarah Ayah 56 
  [OK] 002057.mp3 - Al-Baqarah Ayah 57 
  [OK] 002058.mp3 - Al-Baqarah Ayah 58 
  [OK] 002059.mp3 - Al-Baqarah Ayah 59 
  [OK] 002060.mp3 - Al-Baqarah Ayah 60 
  [OK] 002061.mp3 - Al-Baqarah Ayah 61 
  [OK] 002062.mp3 - Al-Baqarah Ayah 62 
  [OK] 002063.mp3 - Al-Baqarah Ayah 63 
  [OK] 002064.mp3 - Al-Baqarah Ayah 64 
  [OK] 002065.mp3 - Al-Baqarah Ayah 65 
  [OK] 002066.mp3 - Al-Baqarah Ayah 66 
  [OK] 002067.mp3 - Al-Baqarah Ayah 67 
  [OK] 002068.mp3 - Al-Baqarah Ayah 68 
  [OK] 002069.mp3 - Al-Baqarah Ayah 69 
  [OK] 002070.mp3 - Al-Baqarah Ayah 70 
  [OK] 002071.mp3 - Al-Baqarah Ayah 71 
  [OK] 002072.mp3 - Al-Baqarah Ayah 72 
  [OK] 002073.mp3 - Al-Baqarah Ayah 73 
  [OK] 002074.mp3 - Al-Baqarah Ayah 74 
  [OK] 002075.mp3 - Al-Baqarah Ayah 75 
  [OK] 002076.mp3 - Al-Baqarah Ayah 76 
  [OK] 002077.mp3 - Al-Baqarah Ayah 77 
  [OK] 002078.mp3 - Al-Baqarah Ayah 78 
  [OK] 002079.mp3 - Al-Baqarah Ayah 79 
  [OK] 002080.mp3 - Al-Baqarah Ayah 80 
  [OK] 002081.mp3 - Al-Baqarah Ayah 81 
  [OK] 002082.mp3 - Al-Baqarah Ayah 82 
  [OK] 002083.mp3 - Al-Baqarah Ayah 83 
  [OK] 002084.mp3 - Al-Baqarah Ayah 84 
  [OK] 002085.mp3 - Al-Baqarah Ayah 85 
  [OK] 002086.mp3 - Al-Baqarah Ayah 86 
  [OK] 002087.mp3 - Al-Baqarah Ayah 87 
  [OK] 002088.mp3 - Al-Baqarah Ayah 88 
  [OK] 002089.mp3 - Al-Baqarah Ayah 89 
  [OK] 002090.mp3 - Al-Baqarah Ayah 90 
  [OK] 002091.mp3 - Al-Baqarah Ayah 91 
  [OK] 002092.mp3 - Al-Baqarah Ayah 92 
  [OK] 002093.mp3 - Al-Baqarah Ayah 93 
  [OK] 002094.mp3 - Al-Baqarah Ayah 94 
  [OK] 002095.mp3 - Al-Baqarah Ayah 95 
  [OK] 002096.mp3 - Al-Baqarah Ayah 96 
  [OK] 002097.mp3 - Al-Baqarah Ayah 97 
  [OK] 002098.mp3 - Al-Baqarah Ayah 98 
  [OK] 002099.mp3 - Al-Baqarah Ayah 99 
  [OK] 002100.mp3 - Al-Baqarah Ayah 100 
